SF7,SF10,SF12
1068.0546760559082,1308.7799549102783,2175.163745880127
1067.906141281128,1308.812141418457,2173.020362854004
1067.2638416290283,1309.4487190246582,2174.8883724212646
1066.4606094360352,1309.2479705810547,2175.795316696167
1065.8578872680664,1309.037685394287,2173.185110092163
1067.0959949493408,1307.551622390747,2176.163911819458
1067.3210620880127,1308.8855743408203,2173.9931106567383
1068.5951709747314,1353.4915447235107,2177.006483078003
1067.058801651001,1310.8079433441162,2176.8126487731934
1067.3058032989502,1350.7869243621826,2175.449848175049
1067.8272247314453,1349.7776985168457,2175.9591102600098
1066.3022994995117,1351.3615131378174,2175.8029460906982
1067.4283504486084,1349.2319583892822,2174.9062538146973
2138.5180950164795,1350.0657081604004,2178.358793258667
1061.8774890899658,1349.5752811431885,2174.428701400757
1061.2478256225586,1349.8311042785645,2175.5423545837402
1068.9935684204102,1349.9572277069092,2175.7264137268066
1068.6423778533936,1350.2321243286133,2176.2945652008057
1065.8655166625977,1349.876880645752,2175.85825920105
1069.1423416137695,1350.0521183013916,2175.9657859802246
1069.7288513183594,1349.0159511566162,2177.8998374938965
1064.4261837005615,2705.906629562378,2178.5805225372314
1066.728115081787,1344.0663814544678,2174.400806427002
1067.2712326049805,1311.4290237426758,2174.262046813965
1066.8742656707764,1351.531982421875,2174.6785640716553
1065.1378631591797,1350.144386291504,2175.0524044036865
1066.7364597320557,1349.818468093872,1035.3357791900635
1067.025899887085,1350.0685691833496,1142.747402191162
1067.6329135894775,1349.7729301452637,2178.455114364624
1066.471815109253,1357.4295043945312,2175.778388977051
1067.1870708465576,1302.7739524841309,2176.0122776031494
1066.7109489440918,1352.0946502685547,2177.6745319366455
1067.4927234649658,1349.7633934020996,2175.938367843628
1066.744327545166,1350.4834175109863,2176.157236099243
1069.1945552825928,1349.2281436920166,2176.025152206421
1069.0748691558838,1349.346399307251,2176.407814025879
1066.784381866455,1349.916934967041,2177.4113178253174
1066.7572021484375,1349.3225574493408,2178.4756183624268
1066.8704509735107,1350.8727550506592,2175.997734069824
1067.2452449798584,1350.421667098999,2174.762487411499
1066.8551921844482,1349.9538898468018,2176.144599914551
1067.091464996338,1349.6618270874023,2177.2689819335938
1066.948652267456,1350.1477241516113,2178.6606311798096
1067.1093463897705,1310.12721061706543,2176.31196975708
1067.0342445373535,1200.7942199707031,2175.5707263946533
1066.9503211975098,1352.0455360412598,2175.8294105529785
1066.910982131958,1350.5964279174805,2176.2990951538086
1067.0149326324463,1349.1063117980957,2178.222894668579
1067.3158168792725,1350.3413200378418,2177.650213241577
1066.7142868041992,1349.9271869659424,2176.1958599090576
1066.0505294799805,1350.6674766540527,2175.7707595825195
1068.9804553985596,1348.2646942138672,2174.8812198638916
1070.0597763061523,1350.8946895599365,2177.1140098571777
1067.0185089111328,1350.0628471374512,2176.1250495910645
1067.3911571502686,1348.1545448303223,2175.8995056152344
90.61479568481445,1350.724697113037,2110.46123504638672
975.2326011657715,1350.20112991333,2065.528392791748
1067.1684741973877,1347.9764461517334,2176.7451763153076
1066.3154125213623,1350.84867477417,2176.85604095459
